CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
11,Existing Customer,43,F,3,Unknown,Married,Less than $40K,Blue,35,3,3,3,1478.0,0,1442.0,0.64,4363,75,0.754,0.0,0.00034896,0.99965
12,Attrited Customer,45,M,2,Uneducated,Divorced,$60K - $80K,Silver,33,1,3,3,34516.0,0,34516.0,0.319,1516,32,0.216,0.0,0.99605,0.00394999
13,Existing Customer,51,F,3,Post-Graduate,Single,Less than $40K,Blue,46,1,1,2,9199.0,1043,8048.0,0.835,15415,124,0.759,0.134,6.487e-05,0.99994
14,Existing Customer,65,F,1,Unknown,Single,$40K - $60K,Blue,46,3,2,4,7059.0,0,6048.0,0.857,3416,57,0.767,0.0,0.00033653,0.99966
15,Existing Customer,54,F,0,High School,Divorced,Less than $40K,Blue,34,3,2,1,2073.0,1688,225.0,0.761,4278,63,0.63,0.812,5.924e-05,0.99994
16,Existing Customer,43,M,3,College,Single,$40K - $60K,Gold,27,3,2,4,23914.0,0,24789.0,0.658,4647,86,0.683,0.0,0.00032535,0.99967
17,Existing Customer,57,F,1,High School,Married,Less than $40K,Blue,52,6,1,3,2844.0,1505,1368.0,1.257,3420,53,0.667,0.59,8.195e-05,0.99992
18,Existing Customer,47,F,4,Uneducated,Single,Less than $40K,Blue,37,3,3,3,8388.0,2462,5013.0,0.607,3454,84,0.729,0.268,0.0003262,0.99967
19,Attrited Customer,45,F,1,Unknown,Single,Less than $40K,Blue,42,4,6,2,6704.0,413,5061.0,0.537,956,15,0.333,0.075,0.9934,0.0073
20,Existing Customer,48,M,2,Doctorate,Married,$60K - $80K,Blue,36,3,3,0,1564.0,698,633.0,0.877,4455,85,0.524,0.515,0.00012523,0.99987
21,Existing Customer,49,F,1,Post-Graduate,Unknown,Less than $40K,Blue,35,3,2,1,3403.0,10,3358.0,0.959,4798,82,0.708,0.0,6.063e-05,0.99994
22,Existing Customer,45,F,4,High School,Unknown,Less than $40K,Gold,36,6,3,2,15981.0,1985,13946.0,0.584,1940,33,0.777,0.117,0.00021171,0.99979
23,Attrited Customer,46,F,3,Doctorate,Married,Less than $40K,Blue,21,2,2,2,3880.0,0,3916.0,0.594,2330,35,0.378,0.0,0.99184,0.00515
24,Attrited Customer,45,F,3,High School,Married,Less than $40K,Blue,36,5,4,2,1784.0,0,1887.0,0.749,2583,58,0.594,0.0,0.99527,0.00472676
25,Existing Customer,43,M,4,Doctorate,Unknown,$60K - $80K,Gold,36,3,4,3,34516.0,1951,32206.0,1.339,3344,63,0.486,0.054,0.00037958,0.99962
26,Attrited Customer,42,F,3,Graduate,Single,Less than $40K,Blue,33,4,2,1,2613.0,0,2614.0,1.031,2305,51,0.636,0.0,0.98907,0.01093
27,Existing Customer,41,F,1,Post-Graduate,Married,$40K - $60K,Blue,36,2,5,2,5241.0,0,5041.0,0.739,4149,67,1.134,0.0,0.00010533,0.99989
28,Existing Customer,34,F,3,Graduate,Single,Unknown,Blue,23,2,1,3,3388.0,0,3558.0,0.915,4269,66,0.65,0.0,9.612e-05,0.9999
29,Existing Customer,39,M,1,Graduate,Married,$60K - $80K,Blue,31,6,3,5,5847.0,2492,3807.0,0.379,1794,28,0.517,0.302,0.00053353,0.99947
30,Existing Customer,45,M,4,Graduate,Married,Less than $40K,Blue,39,3,2,2,1438.3,0,1438.3,0.709,3486,73,0.657,0.0,0.00011937,0.99988
31,Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Silver,31,5,2,2,34516.0,0,34516.0,0.61,4157,64,0.787,0.0,9.896e-05,0.9999
32,Existing Customer,54,M,2,Graduate,Single,$80K - $120K,Blue,47,5,3,2,6767.0,1180,6902.0,0.376,3839,56,0.645,0.188,0.00017987,0.99982
33,Existing Customer,56,F,4,Graduate,Single,Less than $40K,Blue,36,5,1,1,2350.0,881,1702.0,0.391,4154,65,0.618,0.354,3.031e-05,0.99997
34,Existing Customer,38,F,3,Doctorate,Single,Unknown,Blue,24,3,4,3,5060.0,1596,4210.0,0.721,4202,82,0.767,0.251,0.00049578,0.9995
35,Existing Customer,50,F,3,Doctorate,Married,Less than $40K,Platinum,36,1,2,3,13967.0,1136,13728.0,0.859,15074,105,0.759,0.094,0.00037646,0.99962
36,Existing Customer,33,F,1,Unknown,Married,Less than $40K,Blue,27,3,1,1,2076.0,1286,879.0,0.702,4923,86,0.698,0.621,3.63e-05,0.99996
37,Existing Customer,45,M,3,Unknown,Married,$40K - $60K,Blue,36,6,4,3,2094.0,1167,595.0,0.976,3897,60,0.667,0.753,0.00034396,0.99966
38,Attrited Customer,43,M,1,High School,Single,$60K - $80K,Blue,36,4,3,2,9575.0,921,8819.0,0.696,2059,46,0.535,0.099,0.99391,0.00509
39,Existing Customer,55,F,4,Graduate,Single,Unknown,Blue,40,2,3,2,3475.0,869,2837.0,0.83,4852,71,0.514,0.243,0.00018864,0.99981
40,Existing Customer,47,F,3,Uneducated,Single,$40K - $60K,Blue,36,3,4,2,3428.0,2206,755.0,0.742,8041,89,0.635,0.75,0.00019131,0.99981
41,Attrited Customer,48,M,4,Graduate,Married,$120K +,Blue,38,2,3,4,15283.0,0,14244.0,0.554,776,28,0.2,0.0,0.99813,0.00286317
42,Attrited Customer,46,F,3,Unknown,Married,$40K - $60K,Blue,35,4,3,2,2377.0,0,2472.0,0.782,3113,55,0.549,0.0,0.99515,0.00484967
43,Existing Customer,37,F,0,Graduate,Married,Less than $40K,Blue,21,4,2,2,1438.3,0,1438.3,0.749,4317,88,1.124,0.0,9.767e-05,0.9999
44,Existing Customer,47,F,4,Graduate,Unknown,Less than $40K,Blue,37,6,2,3,8282.0,936,7258.0,0.776,4586,74,0.687,0.154,0.00020027,0.9999
45,Existing Customer,55,F,4,High School,Married,Less than $40K,Blue,47,2,3,1,5345.0,1905,3601.0,0.666,5382,76,0.754,0.345,0.00011976,0.99988
46,Attrited Customer,47,F,4,High School,Unknown,Less than $40K,Blue,34,2,3,3,1532.0,0,1544.0,0.589,2699,43,0.387,0.0,0.9967,0.00320057
47,Existing Customer,37,F,4,High School,Married,Unknown,Blue,26,3,5,3,4349.0,0,4242.0,0.663,5056,82,0.89,0.0,0.00037776,0.99962
48,Existing Customer,58,F,3,Doctorate,Married,Less than $40K,Blue,40,6,6,0,4497.0,1900,2772.0,0.462,1132,35,0.788,0.242,8.25e-05,0.99992
49,Existing Customer,48,M,4,Graduate,Single,$60K - $80K,Blue,31,5,2,2,28258.0,1784,26173.0,0.726,4604,85,0.855,0.064,0.00011864,0.99988
50,Attrited Customer,38,F,3,Unknown,Married,$40K - $60K,Blue,36,5,2,2,6254.0,0,6007.0,0.655,2473,53,0.661,0.0,0.99135,0.00764
51,Attrited Customer,49,M,2,Uneducated,Single,Less than $40K,Blue,36,5,1,2,7949.0,1958,5570.0,0.409,1665,46,0.41,0.233,0.98215,0.01785
52,Existing Customer,50,M,1,Unknown,Married,$60K - $80K,Blue,41,2,3,2,3261.0,1504,1692.0,0.466,1900,34,1.382,0.43,0.00016056,0.99984
53,Existing Customer,51,M,3,Graduate,Divorced,$40K - $60K,Silver,45,3,3,2,18750.0,1091,17661.0,0.638,3158,76,0.642,0.079,0.00028357,0.99972
54,Existing Customer,43,F,3,College,Single,Less than $40K,Blue,44,5,3,2,3227.0,2048,1030.0,0.665,4618,68,0.905,0.713,0.00018145,0.99982
55,Existing Customer,38,F,0,Graduate,Single,Unknown,Blue,21,3,1,1,11678.0,1455,888.0,0.776,4706,76,0.598,0.672,3.526e-05,0.99996
56,Existing Customer,37,M,3,High School,Single,$40K - $60K,Blue,30,3,4,4,12457.0,1567,10035.0,0.83,4254,80,0.721,0.1,0.00053739,0.99946
57,Existing Customer,37,F,4,Unknown,Single,Unknown,Blue,27,6,3,3,13297.0,0,12184.0,0.571,3094,66,0.516,0.0,0.00034249,0.99966
58,Existing Customer,58,F,1,Uneducated,Single,Less than $40K,Blue,52,6,3,2,1438.3,1518,221.3,0.72,3994,79,0.779,0.935,0.00018399,0.99982
59,Existing Customer,53,M,5,Unknown,Married,$120K +,Blue,40,4,1,0,9921.0,1218,7048.0,0.581,1499,40,0.427,0.098,2.639e-05,0.99997
60,Existing Customer,47,F,5,Graduate,Single,Less than $40K,Blue,40,4,1,2,1438.3,682,896.3,0.918,4475,59,0.694,0.487,5.517e-05,0.99994
61,Existing Customer,62,F,2,Unknown,Single,Less than $40K,Blue,36,5,3,3,2621.0,1744,991.0,1.148,1970,41,0.733,0.699,0.00021135,0.99979
62,Existing Customer,56,F,4,Doctorate,Single,$40K - $60K,Blue,37,3,2,3,5280.0,1748,3578.0,0.627,8015,84,0.762,0.298,0.00023275,0.99977
63,Existing Customer,61,F,0,Graduate,Married,Less than $40K,Blue,36,6,1,2,2260.0,1284,734.0,0.683,1256,33,0.642,0.639,4.77e-05,0.99995
64,Existing Customer,45,F,3,Graduate,Unknown,Less than $40K,Blue,36,4,2,2,6734.0,889,5450.0,0.627,5193,84,0.674,0.169,0.00011811,0.99988
65,Existing Customer,50,M,2,High School,Married,$80K - $120K,Blue,36,3,1,4,1899.0,0,1789.0,0.83,4871,76,0.898,0.0,0.00016163,0.99984
66,Attrited Customer,52,F,1,High School,Single,$40K - $60K,Blue,45,6,3,3,2772.0,0,2904.0,0.787,2608,40,0.849,0.0,0.99679,0.00350858
67,Existing Customer,52,M,1,Uneducated,Married,$60K - $80K,Blue,42,6,1,3,3420.0,0,3561.0,0.338,4186,77,1.05,0.0,8.884e-05,0.99991
68,Existing Customer,62,F,0,Doctorate,Single,$40K - $60K,Blue,50,6,1,4,3144.0,0,3603.0,1.435,3495,62,0.856,0.0,0.00016302,0.99984
69,Existing Customer,52,F,2,College,Married,Less than $40K,Blue,45,6,1,2,4078.0,2417,1372.0,0.601,4497,76,0.61,0.621,5.354e-05,0.99995
70,Existing Customer,41,F,3,High School,Married,Less than $40K,Blue,33,4,3,2,2240.0,1518,787.0,0.775,2381,61,1.025,0.715,0.00018146,0.99982
71,Existing Customer,37,M,1,College,Married,Less than $40K,Blue,29,5,2,2,1828.0,969,998.0,1.656,2227,41,0.65,0.522,0.00010386,0.9999
72,Existing Customer,52,M,2,Graduate,Divorced,$80K - $120K,Blue,38,5,2,1,1911.0,1112,984.0,0.647,4930,82,0.548,0.42,6.883e-05,0.99993
73,Existing Customer,34,M,1,College,Married,$60K - $80K,Blue,32,4,3,2,6444.0,744,5504.0,0.878,1388,38,0.682,0.085,0.00016413,0.99984
74,Existing Customer,60,F,0,Graduate,Divorced,Unknown,Blue,49,5,2,1,12002.0,0,12079.0,0.809,4936,71,0.766,0.0,5.199e-05,0.99995
75,Existing Customer,56,M,2,Unknown,Married,$60K - $80K,Blue,43,5,1,4,3338.0,1987,720.0,0.32,1595,23,0.172,0.704,0.00018256,0.99982
76,Attrited Customer,44,M,4,College,Divorced,$40K - $60K,Blue,30,6,3,1,12404.0,2517,10197.0,0.354,2739,54,0.5,0.195,0.99667,0.00833
77,Attrited Customer,57,M,3,Uneducated,Divorced,$60K - $80K,Blue,45,5,5,2,2367.0,2467,242.0,0.882,2397,48,0.433,0.92,0.99509,0.00290371
78,Existing Customer,58,M,1,College,Married,$80K - $120K,Blue,48,2,3,1,18584.0,1842,15346.0,0.595,7301,94,0.771,0.109,0.00010286,0.9999
79,Existing Customer,48,M,3,High School,Married,$80K - $120K,Blue,48,4,3,2,18721.0,1370,16545.0,0.399,3314,58,0.557,0.084,0.00019145,0.99981
80,Existing Customer,55,F,3,Post-Graduate,Married,$40K - $60K,Blue,42,4,3,3,4902.0,2445,2768.0,1.269,1352,29,1.0,0.453,0.00034382,0.99966
81,Existing Customer,44,F,2,Doctorate,Single,Less than $40K,Blue,34,4,3,2,2148.0,1600,549.0,0.615,3930,87,0.706,0.781,0.00021722,0.99978
82,Existing Customer,62,M,0,High School,Married,Less than $40K,Blue,56,3,3,0,4142.0,1166,2522.0,0.737,1644,47,0.878,0.121,5.639e-05,0.99994
83,Existing Customer,55,M,1,High School,Married,$80K - $120K,Blue,39,4,1,1,2210.0,1011,1591.0,0.793,5221,84,0.649,0.416,3.02e-05,0.99997
84,Existing Customer,45,F,2,High School,Single,Unknown,Blue,41,1,1,3,6950.0,0,5821.0,0.54,4374,87,0.547,0.0,9.045e-05,0.99991
85,Attrited Customer,54,F,3,Unknown,Married,Unknown,Blue,44,5,3,3,2918.0,0,2613.0,0.517,2487,41,0.577,0.0,0.99707,0.0029384
86,Existing Customer,26,F,0,Uneducated,Single,Less than $40K,Blue,20,3,3,4,2138.0,1490,584.0,0.684,4258,75,0.724,0.667,0.0004708,0.99953
87,Existing Customer,42,M,3,Graduate,Unknown,$60K - $80K,Blue,36,6,3,3,7129.0,1232,4327.0,0.62,4681,78,0.957,0.191,0.0003139,0.99969
88,Attrited Customer,58,F,3,College,Married,Less than $40K,Blue,44,4,4,3,3217.0,0,2817.0,0.578,2264,41,0.65,0.0,0.99701,0.00298755
89,Existing Customer,52,F,1,Unknown,Married,$40K - $60K,Blue,39,3,3,4,3185.0,1419,1806.0,0.597,3864,62,0.633,0.4,0.00048051,0.99952
90,Existing Customer,42,M,3,Graduate,Single,$80K - $120K,Blue,31,5,2,1,6666.0,2021,5372.0,0.966,1666,44,0.782,0.297,8.812e-05,0.99991
91,Existing Customer,37,M,1,Graduate,Married,$40K - $60K,Blue,22,3,3,1,4389.0,1177,2379.0,1.058,1650,33,0.722,0.264,0.00010182,0.9999
92,Existing Customer,60,F,2,Graduate,Single,Unknown,Blue,55,5,2,4,10284.0,0,19195.0,0.784,3302,74,0.781,0.0,0.00031656,0.99968
93,Existing Customer,26,M,0,Uneducated,Unknown,$40K - $60K,Blue,36,5,3,4,1563.0,0,1664.0,0.502,2266,61,0.366,0.0,0.00049308,0.99951
94,Existing Customer,57,M,2,Graduate,Married,$60K - $80K,Blue,43,1,2,3,1901.0,1004,622.0,0.552,4284,92,0.72,0.629,0.00019664,0.9998
95,Attrited Customer,57,M,1,Unknown,Single,$80K - $120K,Blue,43,2,3,2,8819.0,0,8018.0,0.69,7822,65,0.7,0.0,0.9943,0.00669
96,Existing Customer,52,M,3,College,Single,$80K - $120K,Blue,48,3,1,4,7365.0,1168,5024.0,1.202,3418,63,0.636,0.138,0.00016112,0.99984
97,Attrited Customer,55,M,1,Unknown,Married,$80K - $120K,Blue,47,3,1,3,9054.0,921,8449.0,0.724,847,29,0.421,0.091,0.9894,0.0105
98,Existing Customer,38,F,2,Post-Graduate,Married,Less than $40K,Blue,36,6,2,1,2223.0,2051,987.0,0.947,2725,84,0.885,0.693,7.404e-05,0.99993
99,Existing Customer,44,F,5,Graduate,Unknown,Less than $40K,Blue,34,4,1,2,9196.0,0,9465.0,0.661,1751,53,0.753,0.0,5.869e-05,0.99994
100,Existing Customer,49,F,3,College,Married,Unknown,Blue,38,5,3,2,17387.0,373,16843.0,0.761,4261,72,0.836,0.061,0.00018145,0.99982
101,Existing Customer,37,M,1,High School,Unknown,$80K - $120K,Blue,24,1,3,2,12655.0,1330,11656.0,0.949,14513,107,0.776,0.09,0.00016413,0.99984
102,Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue,44,2,2,2,8533.0,794,7811.0,0.918,4711,83,0.729,0.151,0.00011703,0.99988
103,Existing Customer,50,F,2,Unknown,Single,Less than $40K,Blue,36,1,1,1,2294.0,1658,851.0,0.693,4951,83,0.796,0.648,3.36e-05,0.99997
104,Existing Customer,57,F,3,Post-Graduate,Divorced,$40K - $60K,Blue,41,1,2,2,8534.0,1153,6966.0,0.745,8375,108,0.474,0.102,0.00013881,0.99986
105,Existing Customer,35,M,1,High School,Married,$40K - $60K,Blue,29,5,3,3,3537.0,739,1543.0,0.561,2337,42,0.628,0.256,0.00027607,0.99972
106,Existing Customer,51,F,4,High School,Married,Less than $40K,Blue,36,6,2,1,1511.0,902,733.0,0.674,1383,39,0.733,0.51,6.677e-05,0.99993
107,Existing Customer,41,M,4,College,Married,$60K - $80K,Blue,33,3,3,4,6448.0,1570,4147.0,0.629,4041,66,0.84,0.243,0.00055005,0.99945
108,Existing Customer,47,M,3,Graduate,Married,Less than $40K,Blue,42,1,3,1,2765.0,2173,798.0,0.813,4614,77,0.733,0.739,0.0001139,0.99989
109,Attrited Customer,49,F,3,College,Married,Unknown,Blue,40,1,3,3,6792.0,0,6899.0,0.481,4628,66,0.225,0.0,0.99692,0.00308758
110,Existing Customer,45,M,3,College,Unknown,$60K - $80K,Blue,36,1,3,1,18565.0,1413,16078.0,0.778,8816,97,0.583,0.083,0.00011949,0.99988
111,Existing Customer,39,F,1,Graduate,Single,Less than $40K,Blue,28,2,2,2,1438.3,844,753.3,1.152,3856,75,0.815,0.572,0.00010684,0.99989
112,Attrited Customer,50,F,3,College,Single,Less than $40K,Blue,43,6,2,3,1438.3,0,1438.3,0.72,2017,46,0.533,0.0,0.99469,0.00531
113,Existing Customer,47,M,2,College,Single,$40K - $60K,Blue,36,6,3,1,1438.3,883,675.3,0.653,4856,86,0.835,0.529,0.00010548,0.99989
114,Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue,39,2,3,3,11820.0,1751,9242.0,0.534,1758,50,0.718,0.188,0.00030411,0.9997
115,Existing Customer,36,M,1,Graduate,Single,$60K - $80K,Silver,24,6,2,2,26874.0,0,25889.0,0.79,2353,49,0.5,0.0,9.713e-05,0.9999
116,Existing Customer,43,M,5,Post-Graduate,Single,$40K - $60K,Blue,36,3,4,1,11504.0,1852,9492.0,1.035,3376,63,0.858,0.184,0.00013349,0.99987
117,Existing Customer,51,F,0,Graduate,Married,Less than $40K,Blue,43,6,3,4,2223.0,1417,936.0,1.082,4088,63,0.5,0.635,0.0002833,0.99952
118,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,54,4,2,3,2563.0,2182,481.0,0.589,1745,57,0.4,0.848,0.0001746,0.99982
119,Existing Customer,44,M,2,College,Married,$60K - $80K,Blue,31,2,3,2,8261.0,1529,7651.0,0.848,7912,84,0.559,0.141,0.00017486,0.99983
120,Attrited Customer,48,M,1,Graduate,Single,$80K - $120K,Blue,38,5,3,4,2834.0,2517,316.0,0.717,1590,37,0.552,0.879,0.99737,0.0016382
121,Existing Customer,49,F,2,Unknown,Married,Less than $40K,Blue,37,2,1,2,2243.0,1807,201.0,0.526,4440,85,0.937,0.865,6.284e-05,0.99994
122,Existing Customer,39,M,4,Uneducated,Married,$80K - $120K,Blue,27,1,1,2,33737.0,1546,31558.0,0.759,14191,122,0.705,0.043,5.939e-05,0.99994
123,Existing Customer,55,M,3,High School,Married,$80K - $120K,Blue,47,5,2,3,13302.0,951,13059.0,0.515,1989,71,0.511,0.067,0.00019311,0.99981
124,Existing Customer,48,M,3,Unknown,Married,$40K - $60K,Blue,39,6,3,1,1968.0,1265,914.0,0.553,3933,58,1.078,0.533,0.00012172,0.99988
125,Existing Customer,45,M,5,Graduate,Single,$60K - $80K,Blue,35,3,1,2,1438.3,0,1438.3,0.641,4507,76,0.659,0.0,5.575e-05,0.99994
126,Attrited Customer,45,F,4,College,Married,Less than $40K,Blue,36,1,3,3,3195.0,621,3377.0,0.732,2005,50,0.449,0.197,0.99674,0.00326498
127,Attrited Customer,43,M,2,Graduate,Divorced,$40K - $60K,Blue,36,3,2,1,6480.0,0,6391.0,0.627,1912,40,0.76,0.0,0.99105,0.00895
128,Existing Customer,44,M,3,Unknown,Single,$60K - $80K,Blue,36,5,1,1,12178.0,2517,10030.0,0.851,4889,85,0.756,0.161,6.283e-05,0.99994
129,Existing Customer,43,F,3,Unknown,Single,$40K - $60K,Blue,32,3,3,4,6312.0,1517,4896.0,1.076,3336,77,0.733,0.283,0.00057018,0.99943
130,Existing Customer,51,F,3,Unknown,Single,Less than $40K,Blue,39,2,2,2,3301.0,1806,1579.0,0.741,7679,82,0.683,0.586,0.00013519,0.99986
131,Existing Customer,53,M,3,High School,Unknown,$120K +,Blue,36,2,3,2,34516.0,1838,32848.0,0.814,14894,115,0.727,0.05,0.00018456,0.99982
132,Existing Customer,42,M,5,Uneducated,Married,$60K - $80K,Blue,33,2,2,2,25966.0,1847,24315.0,0.622,4209,75,0.65,0.079,0.00011454,0.99989
133,Attrited Customer,43,M,3,Unknown,Married,Less than $40K,Blue,36,5,2,3,7962.0,1387,6584.0,0.739,1324,21,0.1,0.149,0.99517,0.00482896
134,Existing Customer,45,M,0,Unknown,Married,$80K - $120K,Blue,30,6,2,3,7895.0,2017,6278.0,0.802,1451,31,0.55,0.289,0.00020237,0.9998
135,Existing Customer,50,M,1,Uneducated,Married,$40K - $60K,Blue,31,6,4,2,1887.0,1147,602.0,1.189,1346,29,1.384,0.641,0.00016871,0.99983
136,Existing Customer,48,F,2,Post-Graduate,Single,Less than $40K,Blue,45,4,3,1,2242.0,2517,335.0,0.518,4492,61,0.574,0.901,0.00013763,0.99986
137,Existing Customer,45,F,4,Unknown,Married,$40K - $60K,Blue,33,5,0,1,2527.0,1407,945.0,0.632,4654,65,0.715,0.546,3.324e-05,0.99997
138,Existing Customer,30,F,0,Unknown,Single,$40K - $60K,Blue,17,2,2,1,3169.0,1598,2241.0,0.81,5265,72,1.074,0.519,8.929e-05,0.99991
139,Existing Customer,40,M,2,College,Single,$60K - $80K,Blue,28,4,1,1,2776.0,631,1777.0,0.622,1497,45,0.75,0.325,3.85e-05,0.99996
140,Existing Customer,42,M,2,High School,Unknown,$80K - $120K,Blue,33,1,1,3,3730.0,1470,2110.0,0.819,7138,71,0.891,0.331,9.353e-05,0.99991
141,Existing Customer,58,M,1,Graduate,Married,$60K - $80K,Blue,54,3,3,3,18292.0,0,18055.0,0.629,13123,131,0.689,0.0,0.00028395,0.99972
142,Existing Customer,44,M,2,College,Married,$60K - $80K,Gold,33,5,3,1,34516.0,1260,33131.0,0.771,3493,67,0.8,0.036,0.00012372,0.99988
143,Existing Customer,43,M,5,Uneducated,Single,$120K +,Blue,37,4,2,4,9469.0,2086,7290.0,0.571,4267,69,0.683,0.262,0.00036824,0.99963
144,Existing Customer,53,F,4,High School,Married,$40K - $60K,Blue,36,2,3,1,9171.0,1521,7921.0,0.692,4842,85,0.766,0.219,0.000116,0.99988
145,Existing Customer,53,F,2,High School,Single,Less than $40K,Blue,36,4,2,4,2370.0,1159,1060.0,0.771,4204,66,0.695,0.524,0.00031766,0.99968
146,Existing Customer,43,M,4,Graduate,Single,$40K - $60K,Blue,36,1,1,2,2477.0,1714,595.0,0.668,7592,81,0.538,0.715,5.115e-05,0.99995
147,Existing Customer,48,M,5,Graduate,Single,$40K - $60K,Blue,41,2,1,2,2700.0,1380,1395.0,0.665,7945,87,0.84,0.439,5.766e-05,0.99994
148,Existing Customer,54,M,4,Unknown,Married,$80K - $120K,Blue,40,3,2,2,11052.0,2517,9736.0,0.462,1552,35,0.541,0.29,0.00012982,0.99987
149,Existing Customer,46,M,5,College,Married,$80K - $120K,Blue,46,3,3,3,6630.0,2187,4603.0,0.946,3633,64,0.749,0.364,0.00030516,0.99969
150,Existing Customer,38,F,2,Post-Graduate,Single,$40K - $60K,Silver,32,3,3,2,14551.0,1777,13077.0,0.831,4247,64,0.632,0.114,0.00018142,0.99982
151,Existing Customer,26,F,1,Uneducated,Single,Unknown,Blue,18,6,2,4,1438.3,1076,210.3,0.625,2048,50,0.419,0.84,0.00030842,0.99969
152,Existing Customer,42,F,3,College,Single,Less than $40K,Silver,36,4,2,2,11627.0,1099,9877.0,0.745,1229,33,0.779,0.091,9.955e-05,0.9999
153,Attrited Customer,42,F,3,Uneducated,Single,Less than $40K,Blue,36,6,3,1,1879.0,975,960.0,0.303,793,25,0.708,0.536,0.99184,0.00817
154,Existing Customer,43,M,1,Graduate,Unknown,$120K +,Blue,28,5,2,1,4672.0,2517,2697.0,0.625,4176,73,0.533,0.484,6.683e-05,0.99993
155,Existing Customer,54,M,2,High School,Married,$60K - $80K,Blue,43,3,2,0,2795.0,2232,129.0,0.684,4369,69,0.741,0.986,4.898e-05,0.99995
156,Existing Customer,41,F,4,College,Married,Less than $40K,Blue,24,5,3,2,1438.3,0,1438.3,0.797,4534,69,0.531,0.0,0.0001834,0.99982
157,Existing Customer,61,M,0,Unknown,Married,Less than $40K,Blue,53,3,3,2,2061.0,1249,1159.0,0.614,1650,45,0.444,0.431,0.00016086,0.99984
158,Existing Customer,59,F,1,Post-Graduate,Married,$40K - $60K,Blue,38,4,6,3,2188.0,1383,975.0,0.717,4149,83,0.626,0.613,0.00054626,0.99975
159,Existing Customer,53,M,2,Uneducated,Single,$80K - $120K,Blue,50,3,3,1,17576.0,0,16500.0,0.867,4110,75,1.0,0.0,0.00011555,0.99988
160,Existing Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,35,5,3,3,11687.0,1029,19258.0,1.182,4848,63,0.678,0.078,0.00036693,0.99963
